step,minute,reward,indoor_temp_c,indoor_relative_humidity,airflow_m3_s,avg_airflow_m3_s,damper_action_percent,fan_action_percent,heater_action_percent,damper_power_w,fan_power_w,heater_power_w,cumulative_total_energy_kwh
1,1.000000,-1.294207,18.893899,0.577966,0.457287,0.457242,33.910521,55.673105,0.000000,16.955261,417.548289,0.000000,0.007242
2,2.000000,-0.421492,19.780081,0.576569,0.498217,0.498132,47.082360,22.827132,0.000000,23.541180,171.203491,0.000000,0.010487
3,3.000000,0.015352,20.502426,0.569969,0.335925,0.335900,28.269473,28.180885,0.000000,14.134737,211.356637,0.000000,0.014246
4,4.000000,-0.845674,20.960249,0.554322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014246
5,5.000000,-1.572530,21.799663,0.555241,0.578437,0.577004,46.082482,57.411722,0.000000,23.041241,430.587916,0.000000,0.021806
6,6.000000,-1.959955,22.547827,0.549795,0.420474,0.419392,43.405157,3.364966,2.852722,21.702579,25.237247,998.452637,0.039229
7,7.000000,-2.819357,23.347170,0.537293,0.315229,0.314452,32.891227,0.000000,10.785534,16.445614,0.000000,3774.937038,0.102419
8,8.000000,-4.706885,23.978541,0.518690,0.032786,0.032309,0.000000,10.236793,11.430993,0.000000,76.775948,4000.847668,0.170379
9,9.000000,-5.549123,24.552022,0.511452,0.262793,0.262398,22.373088,17.772686,2.741366,11.186544,133.295143,959.478147,0.188779
10,10.000000,-7.204609,25.158752,0.493713,0.008699,0.008330,0.000000,0.000000,11.994632,0.000000,0.000000,4198.121076,0.258747
11,11.000000,-9.333306,25.803957,0.498154,0.648385,0.647929,59.792262,31.072643,0.000000,29.896131,233.044820,0.000000,0.263130
12,12.000000,-10.024501,26.166834,0.488033,0.009799,0.009609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263130
13,13.000000,-10.274811,26.686366,0.478174,0.147412,0.147152,0.000000,54.836937,6.182546,0.000000,411.277027,2163.890956,0.306049
14,14.000000,-11.278615,27.070937,0.471611,0.128183,0.127996,12.482380,0.000000,0.000000,6.241190,0.000000,0.000000,0.306153
15,15.000000,-11.334888,27.492570,0.462611,0.078975,0.078780,1.940493,19.849709,3.374286,0.970246,148.872820,1180.999934,0.328334
16,16.000000,-12.207639,27.861421,0.457273,0.149707,0.149542,0.000000,55.320470,0.000000,0.000000,414.903525,0.000000,0.335249
17,17.000000,-12.228810,28.215752,0.451873,0.133951,0.133798,0.000000,48.895458,0.000000,0.000000,366.715935,0.000000,0.341361
18,18.000000,-13.780984,28.575551,0.448146,0.198652,0.198500,0.000000,74.654505,0.000000,0.000000,559.908787,0.000000,0.350693
19,19.000000,-15.019087,28.934202,0.445651,0.246588,0.246439,10.949929,52.472644,0.000000,5.474964,393.544829,0.000000,0.357343
20,20.000000,-15.304654,29.315524,0.447155,0.430576,0.430409,30.098962,53.875310,0.000000,15.049481,404.064825,0.000000,0.364328
21,21.000000,-18.424406,29.609531,0.440075,0.012846,0.012731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364328
22,22.000000,-18.835719,29.917472,0.436011,0.146430,0.146312,0.000000,53.338874,0.000000,0.000000,400.041552,0.000000,0.370996
23,23.000000,-21.247176,30.452091,0.425681,0.117013,0.116812,3.564636,27.983813,12.805428,1.782318,209.878600,4481.899665,0.449222
24,24.000000,-25.220870,31.293065,0.417736,0.540409,0.539998,55.903759,0.000000,27.731771,27.951879,0.000000,9706.119768,0.611456
25,25.000000,-27.150459,31.554464,0.415570,0.185272,0.185181,0.000000,68.400475,0.000000,0.000000,513.003561,0.000000,0.620006
26,26.000000,-24.600138,31.820928,0.422923,0.660894,0.660774,51.016462,66.401916,0.000000,25.508231,498.014367,0.000000,0.628732
27,27.000000,-24.739064,32.067348,0.423374,0.321965,0.321878,15.984392,62.720141,0.000000,7.992196,470.401061,0.000000,0.636705
28,28.000000,-27.388496,32.516857,0.416628,0.204408,0.204251,19.379941,2.779641,11.286681,9.689971,20.847311,3950.338290,0.703053
29,29.000000,-28.309606,32.737544,0.416220,0.258404,0.258331,6.015722,74.671035,0.000000,3.007861,560.032762,0.000000,0.712437
30,30.000000,-28.802011,32.958917,0.412414,0.071201,0.071128,4.459864,5.593675,0.000000,2.229932,41.952560,0.000000,0.713173
